"id";"objectid";"point_lat";"point_lng";"xkey";"vrije_hoogte";"ophanging";"type";"vorm";"afmeting1";"afmeting2";"opschrift";"fabtype";"beeldvlak";"fabdatum";"subkey";"x";"y";"shape"
"5359";"13730999";"51.23176999707100";"4.41712126764950";"98961";"2100";"Verlichtingspaal";"E1";"ro";"700";"0";"";"B&W";"Type I";"1999-01-01";"98961.B1";"153378.12410483";"213538.77901093";""
"5362";"13731000";"51.23176999707100";"4.41712126764950";"98961";"2100";"Verlichtingspaal";"GXa";"rh";"100";"400";"";"Vlak";"Type I";"1950-01-01";"98961.B2";"153378.12410483";"213538.77901093";""
"5365";"13731001";"51.23189084218200";"4.41119060410320";"98962";"2550";"Steun";"E9a";"rh";"400";"600";"";"SB250";"Type I";"2006-01-01";"98962.B1";"152963.86602699";"213551.96647457";""
"5368";"13731002";"51.23189084218200";"4.41119060410320";"98962";"2550";"Steun";"GVIId";"rh";"450";"200";"";"SB250";"Type I";"2004-01-01";"98962.B2";"152963.86602699";"213551.96647457";""
"5371";"13731003";"51.23189084218200";"4.41119060410320";"98962";"2550";"Steun";"GXb";"rh";"100";"400";"";"Vlak";"Type I";"1950-01-01";"98962.B3";"152963.86602699";"213551.96647457";""
"5374";"13731004";"51.23215201924200";"4.41124794906620";"98963";"1400";"";"autoroute-blauw";"ah";"500";"0";"Havenroute";"Geen";"Geen";"2003-01-01";"98963.B1";"152967.85460161";"213581.02608968";""
"5377";"13731005";"51.23215201924200";"4.41124794906620";"98964";"1950";"Steun";"C1";"ro";"700";"0";"";"SB250";"Type II";"2001-01-01";"98964.B1";"152967.85460161";"213581.02608968";""
"5380";"13731006";"51.23215201924200";"4.41124794906620";"98964";"1950";"Steun";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1950-01-01";"98964.B2";"152967.85460161";"213581.02608968";""
"5383";"13731007";"51.23225673802000";"4.41118159551880";"98965";"2600";"Steun";"F19";"rh";"700";"700";"";"Vlak";"Type I";"1993-01-01";"98965.B1";"152963.21314647";"213592.67389611";""
"5386";"13731008";"51.23225673802000";"4.41118159551880";"98965";"2600";"Steun";"M5";"rh";"700";"400";"";"Vlak";"Type I";"1993-01-01";"98965.B2";"152963.21314647";"213592.67389611";""
"5389";"13731009";"51.23224351281800";"4.41127865839640";"98966";"2200";"Steun";"B17";"dh";"700";"0";"";"Vlak";"Type I";"1993-01-01";"98966.B1";"152969.99366973";"213591.20646944";""
"5392";"13731010";"51.23224351281800";"4.41127865839640";"98966";"2200";"Steun";"M10";"rh";"700";"400";"";"Vlak";"Type I";"1991-01-01";"98966.B2";"152969.99366973";"213591.20646944";""
"5395";"13731011";"51.23266743961300";"4.41118052643460";"98967";"2500";"Steun";"E1";"ro";"700";"0";"";"SB250";"Type I";"2003-01-01";"98967.B1";"152963.11194463";"213638.36652671";""
"5398";"13731012";"51.23266743961300";"4.41118052643460";"98967";"2500";"Steun";"GV";"rh";"400";"200";"VAN MAANDAG TOT|EN MET VRIJDAG|VAN|8|TOT|17|u|";"SB250";"Type I";"2000-01-01";"98967.B2";"152963.11194463";"213638.36652671";""
"5401";"13731013";"51.23266743961300";"4.41118052643460";"98967";"2500";"Steun";"GXa";"rh";"100";"400";"";"Vlak";"Type I";"1950-01-01";"98967.B3";"152963.11194463";"213638.36652671";""
"5404";"13731014";"51.23284436575300";"4.41117561903720";"98968";"2500";"Steun";"E1";"ro";"700";"0";"";"SB250";"Type I";"2003-01-01";"98968.B1";"152962.75773819";"213658.05028452";""
"5407";"13731015";"51.23284436575300";"4.41117561903720";"98968";"2500";"Steun";"GV";"rh";"400";"200";"VAN MAANDAG TOT|EN MET VRIJDAG|VAN|8|TOT|17|u|";"SB250";"Type I";"2000-01-01";"98968.B2";"152962.75773819";"213658.05028452";""
